area,bathrooms,bedrooms,direction,district,front_street_length,house_type,legal_status,num_of_floor,price,project,title,url
62 m²,3,3,,Quận Bình Thạnh,"8,0 m",Nhà phố,Sổ hồng,3,"5,85 Tỷ VNĐ",,HXH đẹp Nguyễn Xí. 4.5x15. 2 lầu. 5 tỷ,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/hxh-dep-nguyen-xi-4-5x15-2-lau-5-ty-850-7253698
64 m²,5,5,,Quận Bình Tân,"8,0 m",Nhà phố,,4,"4,5 Tỷ VNĐ",,"Bán gấp nhà 1/ Hương Lộ 2 – Mã Lò, 4x16m, 4 tấm",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/ban-gap-nha-1-huong-lo-2-ma-lo-4x16m-4-tam-hien-da-7257389
34 m²,3,4,,Quận Gò Vấp,"4,0 m",Nhà phố,Sổ hồng,2,"1,62 Tỷ VNĐ",,"Nhà Phố 1T2L 4PN độc quyền giá tốt nhất Q12 ,",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/nha-pho-1t2l-4pn-doc-quyen-gia-tot-nhat-q12-khong-7184399
44 m²,2,2,,Huyện Bình Chánh,"5,0 m",Nhà phố,Sổ hồng,1,"1,28 Tỷ VNĐ",,"Ngân hàng Vietcombank thanh lý nhà 4x12, BC, gần",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/ngan-hang-vietcombank-thanh-ly-nha-4x12-bc-gan-ubn-7181014
56 m²,2,3,,Huyện Bình Chánh,,Nhà phố,Sổ hồng,1,"1,28 Tỷ VNĐ",,Vì Sao Nhà Phố DH-Land lại được giới chuyên môn,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/vi-sao-nha-pho-dh-land-lai-duoc-gioi-chuyen-mon-da-6040759
332 m²,,1,,Quận 12,"6,0 m",Khác,Sổ hồng,1,"3,25 Tỷ VNĐ",,"Bán dãy trọ 22 phòng TX 48, Q12, thu nhập ổn",http://www.muabannhadat.vn/nha-ban-khac-3592/ban-day-tro-22-phong-tx-48-q12-thu-nhap-on-dinh-7257416
80 m²,0,2,Tây Nam,Quận 12,"4,0 m",Nhà phố,Sổ hồng,2,"1,5 Tỷ VNĐ",,Bán nhà SHR vị trí đẹp đường Thạnh Lộc 15 gần khu,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/ban-nha-shr-vi-tri-dep-duong-thanh-loc-15-gan-khu-7257417
109 m²,2,2,,Quận Tân Bình,,Nhà phố,Sổ hồng,2,"7,5 Tỷ VNĐ",,"Bán nhà HXH C4 Võ Thành Trang, 109m2, hiệu xuất",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/ban-nha-hxh-c4-vo-thanh-trang-109m2-hieu-xuat-cho-7091461
80 m²,2,2,Đông Nam,Quận Bình Thạnh,"8,0 m",Nhà phố,Sổ hồng,1,"1,9 Tỷ VNĐ",,Chính Chủ Bán Gấp Nhà . Q Bình Thạnh,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/chinh-chu-ban-gap-nha-q-binh-thanh-6599203
105 m²,2,2,,Quận Tân Bình,"5,0 m",Nhà phố,Sổ hồng,2,"7,5 Tỷ VNĐ",,"Cần bán Nhà HXH 5M Nguyễn Bá Tòng, Tân Bình,",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/can-ban-nha-hxh-5m-nguyen-ba-tong-tan-binh-105m2-g-7064672
48 m²,2,2,Không xác định,Quận Bình Tân,"5,0 m",Nhà phố,Sổ hồng,1,"2,9 Tỷ VNĐ",,"Chia tài sản, bán nhà 1 tấm hẻm 1 sẹc Hương Lộ 2,",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/chia-tai-san-ban-nha-1-tam-hem-1-sec-huong-lo-2-4x-7257535
70 m²,5,4,,Quận Thủ Đức,"7,0 m",Nhà phố,Sổ hồng,3,"4,3 Tỷ VNĐ",,"Cần bán gấp căn nhà 2MT( 3 lầu) ngay Quốc Lộ 13,",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/can-ban-gap-can-nha-2mt-3-lau-ngay-quoc-lo-13-quan-7257510
50 m²,2,3,,Huyện Nhà Bè,"5,0 m",Nhà phố,Sổ hồng,2,"2,5 Tỷ VNĐ",,"TT Nhà Bè,DT: 5 x 10m,SHR,Hỗ Trợ Vay NH 70%, Hẻm",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/tt-nha-be-dt-5-x-10m-shr-ho-tro-vay-nh-70-hem-xe-h-7016594
115 m²,3,4,,Huyện Nhà Bè,"6,0 m",Nhà phố,Sổ hồng,2,"1,87 Tỷ VNĐ",,"HTPhát, XD mới_SHR_1T2L(4PN, 3WC), SD 115m2, Hẻm",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/htphat-xd-moi-shr-1t2l4pn-3wc-sd-115m2-hem-xe-hoi-7093114
100 m²,3,4,,Quận 12,"4,0 m",Nhà phố,,2,"1,6 Tỷ VNĐ",,"Nhà phố 2 lầu đúc, ngay metro Hiệp Thành, 3,5x11m",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/nha-pho-2-lau-duc-ngay-metro-hiep-thanh-3-5x11m-gi-7179358
90 m²,3,4,,Quận 12,,Nhà phố,,3,"1,64 Tỷ VNĐ",,"Nhà 33m2, 34/ Nguyễn Ảnh Thủ , Quận",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/nha-33m2-34-nguyen-anh-thu-quan-12-6494249
65 m²,5,4,,Huyện Nhà Bè,"6,0 m",Nhà phố,Sổ hồng,3,"2,9 Tỷ VNĐ",,"Kẹt tiền bán gấp nhà hẻm xe 6m, Huỳnh Tấn Phát,",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/ket-tien-ban-gap-nha-hem-xe-6m-huynh-tan-phat-nb-d-6948476
72 m²,2,2,,Quận 12,"8,0 m",Nhà phố,Có giấy phép xây dựng,2,"1,399 Tỷ VNĐ",,"Nhà mới xây, giá rẻ, 1 trệt, 2 lầu - tiếp giáp",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/nha-moi-xay-gia-re-1-tret-2-lau-tiep-giap-quan-go-7258434
