area,bathrooms,bedrooms,direction,district,front_street_length,house_type,legal_status,num_of_floor,price,project,title,url
70 m²,2,2,Đông Nam,Quận 8,,Chung cư,Sổ hồng,4,"1,74 Tỷ VNĐ",,"Căn đã nhận nhà Topaz City, 70m2 tầng thấp, 1.74",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-da-nhan-nha-topaz-city-70m2-tang-thap-1-74-ty-7026448
71 m²,2,2,Đông Bắc,Huyện Nhà Bè,,Chung cư,Có giấy phép xây dựng,17,"1,1 Tỷ VNĐ",,"Căn hộ liền kề Phú Mỹ Hưng, giá 15tr/m2, ưu đãi",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-lien-ke-phu-my-hung-gia-15tr-m2-uu-dai-khun-7028858
70 m²,2,2,,Quận 8,"30,0 m",Chung cư,Có giấy phép xây dựng,15,"1,2 Tỷ VNĐ",,Tại sao phải tìm mua căn hộ CC Sunshine Avenue,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/tai-sao-phai-tim-mua-can-ho-cc-sunshine-avenue-tru-7244516
52 m²,2,2,Đông Nam,Quận 8,,Chung cư,Sổ hồng,33,"1,1 Tỷ VNĐ",,Căn hộ City Gate 3 mở bán Giai đoạn 1 giá gốc CĐT,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-city-gate-3-mo-ban-giai-doan-1-gia-goc-cdt-6447980
38 m²,1,1,,Quận 12,,Chung cư,Sổ hồng,17,660 Triệu VNĐ,,"Căn hộ cầu phú long giáp quận 12, giá chỉ",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-cau-phu-long-giap-quan-12-gia-chi-660tr-can-6839108
52 m²,1,2,Đông,Quận 8,"30,0 m",Chung cư,Sổ hồng,33,"1,006 Tỷ VNĐ",,"Nbb3 Garden - Căn Hộ Nhật Bản Khu Tây Sg, Giá Tốt",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/nbb3-garden-can-ho-nhat-ban-khu-tay-sg-gia-tot-nha-6433180
544 m²,1,2,,Quận Gò Vấp,,Chung cư,,,"1,4 Tỷ VNĐ",,Cần bán gấp căn hộ chung cư Q. Gò,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ban-gap-can-ho-chung-cu-q-go-vap-7254327
50 m²,2,2,,Quận 4,,Chung cư,Sổ hồng,34,Giá bảo mật,,Đầu tư căn hộ Charmington Iris Quận 4 Chỉ Từ,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/dau-tu-can-ho-charmington-iris-quan-4-chi-tu-300tr-7231342
65 m²,2,2,,Quận Tân Phú,,Chung cư,Có giấy phép xây dựng,22,"1,43 Tỷ VNĐ",,Tiêu Đề: Căn Hộ Tân Phú Giá Cực Rẻ - Vị Trí Ngay,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/tieu-de-can-ho-tan-phu-gia-cuc-re-vi-tri-ngay-dam-6927803
60 m²,2,2,Đông Bắc,Quận 8,"30,0 m",Chung cư,Sổ hồng,20,"1,615 Tỷ VNĐ",,"Căn hộ Topaz Elite, nội thất hoàn thiện, 1.615",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-topaz-elite-noi-that-hoan-thien-1-615-ty-2p-6459587
56 m²,2,2,,Quận 8,,Chung cư,Có giấy phép xây dựng,25,"1,2 Tỷ VNĐ",,"Căn hộ ven sông mặt tiền đại lộ Nguyễn Văn Linh,",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-ven-song-mat-tien-dai-lo-nguyen-van-linh-qu-7056219
71 m²,2,2,,Quận Bình Tân,,Chung cư,,22,"1,25 Tỷ VNĐ",,"Tecco Town, Chỉ 385 Triệu Nhận Nhà Ngay, Ngân",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/tecco-town-chi-385-trieu-nhan-nha-ngay-ngan-hang-h-7215217
65 m²,2,2,,Quận Tân Phú,,Chung cư,Có giấy phép xây dựng,22,"1,5 Tỷ VNĐ",,Căn Hộ Tân Phú Giá Cực Rẻ - Đơn Giá Chỉ 23tr/M2 –,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-tan-phu-gia-cuc-re-don-gia-chi-23tr-m2-vi-t-7215141
40 m²,1,1,,Quận Phú Nhuận,,Chung cư,Sổ đỏ,,"1,85 Tỷ VNĐ",,"Căn Hộ Lô K Chung Cư A4 Phan Xích Long, Quận Phú",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-lo-k-chung-cu-a4-phan-xich-long-quan-phu-nh-7254261
98 m²,2,3,,Quận Thủ Đức,,Chung cư,,,"2,3 Tỷ VNĐ",,Nhanh tay sở hữu ngay CH 3pn- bậc nhất hiện nay-,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/nhanh-tay-so-huu-ngay-ch-3pn-bac-nhat-hien-nay-opa-7283664
